name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,T,measured,calculated,difference,references
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,1573,0.41,0.02,-0.39,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,977.4,9.16,9.17,0.01,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,982.9,8.94,9.03,0.09,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,992.7,8.66,8.77,0.11,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,886.5,13.7,13.68,-0.02,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,892.3,13.4,13.07,-0.33,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,899.2,12.99,12.47,-0.52,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,912.1,12.22,11.6,-0.62,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,913.6,12.16,11.51,-0.65,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,918.7,11.83,11.24,-0.59,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,924.2,11.56,10.97,-0.59,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,929.2,11.26,10.75,-0.51,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,934.1,11.04,10.55,-0.49,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,940.9,10.75,10.3,-0.45,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,944.7,10.51,10.16,-0.35,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,952.8,10.17,9.89,-0.28,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,958.2,9.93,9.72,-0.21,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,959.5,9.88,9.68,-0.2,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,966.4,9.57,9.48,-0.09,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.02,972,9.35,9.32,-0.03,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.68,845.8,12.2,11.9,-0.3,1
Bn3,43.57,2.97,10.18,0,0,9.17,26.07,7.59,0.96,0,0.68,851.1,11.95,11.58,-0.37,1
